,date,hour,type,天坛
2010,20140417,15,PM2.5,87.0
2016,20140417,16,PCA,30.59244105461079
2016,20140417,16,PM2.5,89.0
2022,20140417,17,PCA,32.47320001090804
2022,20140417,17,PM2.5,94.0
2028,20140417,18,PCA,41.839403319882194
2028,20140417,18,PM2.5,101.0
2034,20140417,19,PCA,62.197181064266196
2034,20140417,19,PM2.5,121.0
2040,20140417,20,PCA,59.372011027895866
2040,20140417,20,PM2.5,110.0
2046,20140417,21,PCA,55.30138678016066
2046,20140417,21,PM2.5,97.0
2052,20140417,22,PCA,60.69912537613086
2052,20140417,22,PM2.5,99.0
2058,20140417,23,PCA,102.42957391575261
2058,20140417,23,PM2.5,142.0
2064,20140418,0,PCA,111.33861045483725
2064,20140418,0,PM2.5,144.0
2070,20140418,1,PCA,121.93140368064972
2070,20140418,1,PM2.5,144.0
2076,20140418,2,PCA,134.96300596247116
2076,20140418,2,PM2.5,146.0
2082,20140418,3,PCA,128.59994362311724
2082,20140418,3,PM2.5,140.0
2088,20140418,4,PCA,121.6672699389225
2088,20140418,4,PM2.5,135.0
2094,20140418,5,PCA,115.9983182094003
2094,20140418,5,PM2.5,132.0
2100,20140418,6,PCA,116.43955303984143
2100,20140418,6,PM2.5,138.0
2106,20140418,7,PCA,94.45661023585173
2106,20140418,7,PM2.5,114.0
2112,20140418,8,PCA,101.42400673341947
2112,20140418,8,PM2.5,122.0
2118,20140418,9,PCA,109.3217282701866
2118,20140418,9,PM2.5,130.0
2124,20140418,10,PCA,121.64168574835796
2124,20140418,10,PM2.5,146.0
2130,20140418,11,PCA,175.15130477002467
2130,20140418,11,PM2.5,199.0
2136,20140418,12,PCA,182.6982324478028
2136,20140418,12,PM2.5,197.0
2286,20140419,13,PCA,-31.345040092335154
2286,20140419,13,PM2.5,46.0
2292,20140419,14,PCA,-48.67247312917382
2292,20140419,14,PM2.5,35.0
2298,20140419,15,PCA,-55.303333098526885
2298,20140419,15,PM2.5,28.0
2304,20140419,16,PCA,-33.535283389043
2304,20140419,16,PM2.5,56.0
2310,20140419,17,PCA,-21.57808179294497
2310,20140419,17,PM2.5,68.0
2316,20140419,18,PCA,-40.962617276063796
2316,20140419,18,PM2.5,43.0
2322,20140419,19,PCA,-25.776079841011967
2322,20140419,19,PM2.5,51.0
