,date,hour,type,密云水库
2430,20140420,13,PCA,-54.113754825361546
2430,20140420,13,PM2.5,6.0
2436,20140420,14,PCA,-51.45293777786789
2436,20140420,14,PM2.5,8.0
2442,20140420,15,PCA,-52.160046572988946
2442,20140420,15,PM2.5,3.0
2448,20140420,16,PCA,-43.90430948314103
2448,20140420,16,PM2.5,14.0
2454,20140420,17,PCA,-36.78113642823988
2454,20140420,17,PM2.5,25.0
2460,20140420,18,PCA,-37.320115359871195
2460,20140420,18,PM2.5,26.0
2466,20140420,19,PCA,-40.10082119571947
2466,20140420,19,PM2.5,25.0
2472,20140420,20,PCA,-31.69151043379914
2472,20140420,20,PM2.5,31.0
2478,20140420,21,PCA,-16.077139657494662
2478,20140420,21,PM2.5,47.0
2616,20140422,4,PCA,-30.498096333987736
2616,20140422,4,PM2.5,30.0
2622,20140422,5,PCA,-31.175031479541566
2622,20140422,5,PM2.5,31.0
2628,20140422,6,PCA,-30.871329501268033
2628,20140422,6,PM2.5,32.0
2634,20140422,7,PCA,-41.8259371043965
2634,20140422,7,PM2.5,21.0
2640,20140422,8,PCA,-36.74314166559473
2640,20140422,8,PM2.5,29.0
2646,20140422,9,PCA,-34.67507100794281
2646,20140422,9,PM2.5,31.0
2652,20140422,10,PCA,-33.41988623051831
2652,20140422,10,PM2.5,28.0
2658,20140422,11,PCA,-29.171654370474357
2658,20140422,11,PM2.5,29.0
2676,20140422,14,PCA,-26.77308504028481
2676,20140422,14,PM2.5,15.0
2694,20140422,18,PCA,13.119304010240596
2694,20140422,18,PM2.5,46.0
2700,20140422,19,PCA,17.37988252362984
2700,20140422,19,PM2.5,50.0
2706,20140422,20,PCA,26.57734120954955
2706,20140422,20,PM2.5,60.0
2712,20140422,21,PCA,23.92696499065736
2712,20140422,21,PM2.5,57.0
2718,20140422,22,PCA,28.45213559081503
2718,20140422,22,PM2.5,63.0
2724,20140422,23,PCA,20.341797608260674
2724,20140422,23,PM2.5,52.0
2730,20140423,0,PCA,27.5066877850071
2730,20140423,0,PM2.5,67.0
2736,20140423,1,PCA,36.15149511107223
2736,20140423,1,PM2.5,76.0
2742,20140423,2,PCA,31.595050116213315
2742,20140423,2,PM2.5,70.0
2748,20140423,3,PCA,33.9634303437827
2748,20140423,3,PM2.5,70.0
2754,20140423,4,PCA,30.9524208556065
2754,20140423,4,PM2.5,68.0
2760,20140423,5,PCA,28.120970566056013
2760,20140423,5,PM2.5,68.0
2766,20140423,6,PCA,25.218423899150913
2766,20140423,6,PM2.5,66.0
2772,20140423,7,PCA,30.138003919989085
2772,20140423,7,PM2.5,73.0
2778,20140423,8,PCA,41.211675981724404
2778,20140423,8,PM2.5,83.0
2784,20140423,9,PCA,83.32109533178506
2784,20140423,9,PM2.5,124.0
2790,20140423,10,PCA,116.85952804308927
2790,20140423,10,PM2.5,143.0
2796,20140423,11,PCA,127.52390940829477
2796,20140423,11,PM2.5,133.0
2802,20140423,12,PCA,152.30878716860633
2802,20140423,12,PM2.5,143.0
2808,20140423,13,PCA,168.61047511701335
2808,20140423,13,PM2.5,152.0
2814,20140423,14,PCA,175.4932318956485
2814,20140423,14,PM2.5,153.0
2820,20140423,15,PCA,164.6119812669194
2820,20140423,15,PM2.5,133.0
2826,20140423,16,PCA,171.8769097534982
2826,20140423,16,PM2.5,143.0
2832,20140423,17,PCA,199.73974046005526
2832,20140423,17,PM2.5,174.0
2838,20140423,18,PCA,151.60382113623658
2838,20140423,18,PM2.5,111.85
2844,20140429,2,PCA,-0.7694208931018172
2844,20140429,2,PM2.5,49.7
2850,20140429,3,PCA,-2.3717268805123224
2850,20140429,3,PM2.5,47.4
2856,20140429,4,PCA,-3.7208709540829106
2856,20140429,4,PM2.5,48.9
2862,20140429,5,PCA,-4.869160939868448
2862,20140429,5,PM2.5,47.6
2868,20140429,6,PCA,-4.372685114470581
2868,20140429,6,PM2.5,49.6
2874,20140429,7,PCA,-4.081692233847593
2874,20140429,7,PM2.5,50.1
2880,20140429,8,PCA,-6.206873329107487
2880,20140429,8,PM2.5,48.9
2886,20140429,9,PCA,-4.189161641316154
2886,20140429,9,PM2.5,49.2
2892,20140429,10,PCA,-4.3326331534920515
2892,20140429,10,PM2.5,45.1
2898,20140429,11,PCA,8.786732948136171
2898,20140429,11,PM2.5,57.1
2904,20140429,12,PCA,45.807133644046885
2904,20140429,12,PM2.5,70.3
2910,20140429,13,PCA,55.808786531660324
2910,20140429,13,PM2.5,68.0
2916,20140429,14,PCA,64.24617140789589
2916,20140429,14,PM2.5,74.1
2922,20140429,15,PCA,64.80214649464429
2922,20140429,15,PM2.5,73.3
2928,20140429,16,PCA,74.81813126307766
2928,20140429,16,PM2.5,83.5
2934,20140429,17,PCA,77.40251043669565
2934,20140429,17,PM2.5,87.1
2940,20140429,18,PCA,84.68753547290311
2940,20140429,18,PM2.5,90.0
2946,20140429,19,PCA,73.28830722627639
2946,20140429,19,PM2.5,82.2
2952,20140429,20,PCA,64.76733916457906
2952,20140429,20,PM2.5,88.6
2958,20140429,21,PCA,55.266790686854385
2958,20140429,21,PM2.5,89.6
2964,20140429,22,PCA,49.351923476121776
2964,20140429,22,PM2.5,82.3
2970,20140429,23,PCA,50.63203468551428
2970,20140429,23,PM2.5,85.9
2976,20140430,0,PCA,44.861384221978305
2976,20140430,0,PM2.5,82.9
2982,20140430,1,PCA,40.803656593614015
2982,20140430,1,PM2.5,78.5
2988,20140430,2,PCA,39.51278412795922
2988,20140430,2,PM2.5,78.0
2994,20140430,3,PCA,32.91745659581779
2994,20140430,3,PM2.5,68.3
3000,20140430,4,PCA,44.3437263886911
3000,20140430,4,PM2.5,83.8
3006,20140430,5,PCA,39.20491596339076
3006,20140430,5,PM2.5,74.5
3012,20140430,6,PCA,42.478562494285306
3012,20140430,6,PM2.5,79.5
3018,20140430,7,PCA,48.01550218665744
3018,20140430,7,PM2.5,88.2
3024,20140430,8,PCA,51.677794591235035
3024,20140430,8,PM2.5,87.2
3030,20140430,9,PCA,49.208473075154565
3030,20140430,9,PM2.5,77.7
3036,20140430,10,PCA,63.563917596646874
3036,20140430,10,PM2.5,91.5
3042,20140430,11,PCA,73.53224266929591
3042,20140430,11,PM2.5,97.1
