,date,hour,type,琉璃河
2124,20140418,10,PCA,284.92670138898507
2124,20140418,10,PM2.5,302.0
2130,20140418,11,PCA,306.60512125901823
2130,20140418,11,PM2.5,303.0
2136,20140418,12,PCA,330.0187025898839
2136,20140418,12,PM2.5,320.0
2286,20140419,13,PCA,-17.626435852407436
2286,20140419,13,PM2.5,63.0
2292,20140419,14,PCA,-14.600773825769274
2292,20140419,14,PM2.5,84.0
2298,20140419,15,PCA,-29.968882871299197
2298,20140419,15,PM2.5,77.0
2304,20140419,16,PCA,-36.155399596814085
2304,20140419,16,PM2.5,69.0
2310,20140419,17,PCA,-53.13178470738859
2310,20140419,17,PM2.5,51.0
2316,20140419,18,PCA,-32.128369637212955
2316,20140419,18,PM2.5,80.0
2322,20140419,19,PCA,-45.45483554738674
2322,20140419,19,PM2.5,64.0
2328,20140419,20,PCA,-38.71740922060859
2328,20140419,20,PM2.5,69.0
2334,20140419,21,PCA,-26.9054556433125
2334,20140419,21,PM2.5,76.0
2340,20140419,22,PCA,-13.883175916587238
2340,20140419,22,PM2.5,88.0
2346,20140419,23,PCA,4.85473153342401
2346,20140419,23,PM2.5,101.0
2352,20140420,0,PCA,24.024881707959445
2352,20140420,0,PM2.5,113.0
2358,20140420,1,PCA,32.73033716939432
2358,20140420,1,PM2.5,109.0
2364,20140420,2,PCA,77.76115709848261
2364,20140420,2,PM2.5,150.0
2370,20140420,3,PCA,90.9871991228196
2370,20140420,3,PM2.5,152.0
2376,20140420,4,PCA,83.54481182837803
2376,20140420,4,PM2.5,134.0
2382,20140420,5,PCA,110.81825038952802
2382,20140420,5,PM2.5,156.0
2388,20140420,6,PCA,118.7764022097307
2388,20140420,6,PM2.5,161.0
2394,20140420,7,PCA,119.47944556256819
2394,20140420,7,PM2.5,163.0
2400,20140420,8,PCA,118.49412544248844
2400,20140420,8,PM2.5,154.0
2406,20140420,9,PCA,130.66556492300882
2406,20140420,9,PM2.5,172.0
2412,20140420,10,PCA,103.60797787056065
2412,20140420,10,PM2.5,148.0
2418,20140420,11,PCA,117.22639220910095
2418,20140420,11,PM2.5,166.0
2424,20140420,12,PCA,82.83057819506246
2424,20140420,12,PM2.5,140.0
2430,20140420,13,PCA,49.270396984925114
2430,20140420,13,PM2.5,110.0
2436,20140420,14,PCA,7.6135231619851345
2436,20140420,14,PM2.5,80.0
2442,20140420,15,PCA,-27.345889488745716
2442,20140420,15,PM2.5,59.0
2448,20140420,16,PCA,-41.63749792026403
2448,20140420,16,PM2.5,65.5
2454,20140420,17,PCA,-43.78406743257833
2454,20140420,17,PM2.5,72.0
2460,20140420,18,PCA,-42.75928760514722
2460,20140420,18,PM2.5,74.0
2466,20140420,19,PCA,-22.088669125158898
2466,20140420,19,PM2.5,90.0
2472,20140420,20,PCA,-12.419597847348012
2472,20140420,20,PM2.5,93.0
