,date,hour,type,官园
2112,20140418,8,PM2.5,155.0
2118,20140418,9,PCA,121.13408618791065
2118,20140418,9,PM2.5,125.0
2124,20140418,10,PCA,129.15240134166154
2124,20140418,10,PM2.5,140.0
2130,20140418,11,PCA,136.72030808171235
2130,20140418,11,PM2.5,155.0
2136,20140418,12,PCA,157.51272937533477
2136,20140418,12,PM2.5,186.0
2286,20140419,13,PCA,-41.76843893053362
2286,20140419,13,PM2.5,42.0
2292,20140419,14,PCA,-41.95145068946665
2292,20140419,14,PM2.5,44.0
2298,20140419,15,PCA,-43.30720701143963
2298,20140419,15,PM2.5,42.0
2304,20140419,16,PCA,-31.5849788847743
2304,20140419,16,PM2.5,52.0
2310,20140419,17,PCA,-37.517911529763275
2310,20140419,17,PM2.5,43.0
2316,20140419,18,PCA,-42.663275002426616
2316,20140419,18,PM2.5,43.0
2322,20140419,19,PCA,-25.94178533031771
2322,20140419,19,PM2.5,58.0
2328,20140419,20,PCA,-21.488961230847732
2328,20140419,20,PM2.5,60.0
2334,20140419,21,PCA,-12.880289351616309
2334,20140419,21,PM2.5,61.0
2340,20140419,22,PCA,7.456483637952405
2340,20140419,22,PM2.5,73.0
2346,20140419,23,PCA,18.617538246368014
2346,20140419,23,PM2.5,81.0
2352,20140420,0,PCA,14.11466025025351
2352,20140420,0,PM2.5,68.0
2358,20140420,1,PCA,39.57718101040188
2358,20140420,1,PM2.5,91.0
2364,20140420,2,PCA,33.926513509965794
2364,20140420,2,PM2.5,76.0
2370,20140420,3,PCA,53.29467617074941
2370,20140420,3,PM2.5,98.0
2376,20140420,4,PCA,63.261018855603496
2376,20140420,4,PM2.5,100.0
2382,20140420,5,PCA,61.194574198481114
2382,20140420,5,PM2.5,97.0
2388,20140420,6,PCA,56.262881892924895
2388,20140420,6,PM2.5,89.0
2394,20140420,7,PCA,42.357573933503886
2394,20140420,7,PM2.5,77.0
2400,20140420,8,PCA,38.06060105046875
2400,20140420,8,PM2.5,82.0
2406,20140420,9,PCA,27.13709536220832
2406,20140420,9,PM2.5,80.0
2412,20140420,10,PCA,-4.0023382211928595
2412,20140420,10,PM2.5,50.0
2418,20140420,11,PCA,-18.815986600554346
2418,20140420,11,PM2.5,42.0
2424,20140420,12,PCA,-46.268056565929214
2424,20140420,12,PM2.5,29.0
2430,20140420,13,PCA,-68.41268714312118
2430,20140420,13,PM2.5,18.0
2436,20140420,14,PCA,-88.47012791198198
2436,20140420,14,PM2.5,7.0
2442,20140420,15,PCA,-70.47906762672984
2442,20140420,15,PM2.5,30.0
2448,20140420,16,PCA,-54.31796098372649
2448,20140420,16,PM2.5,52.0
2454,20140420,17,PCA,-41.09152359883912
2454,20140420,17,PM2.5,61.0
2460,20140420,18,PCA,-34.68418125161613
2460,20140420,18,PM2.5,56.0
2466,20140420,19,PCA,-20.81359003680585
2466,20140420,19,PM2.5,61.0
2472,20140420,20,PCA,-19.019418048160937
2472,20140420,20,PM2.5,60.0
2478,20140420,21,PCA,-13.448080650849596
2478,20140420,21,PM2.5,62.0
2484,20140420,22,PCA,-4.9881634511137065
2484,20140420,22,PM2.5,65.0
2616,20140422,4,PCA,69.53905718472544
2616,20140422,4,PM2.5,105.0
2622,20140422,5,PCA,46.72649175850283
2622,20140422,5,PM2.5,75.0
2628,20140422,6,PCA,28.535117298675914
2628,20140422,6,PM2.5,62.0
2634,20140422,7,PCA,28.448078986847054
2634,20140422,7,PM2.5,71.0
2640,20140422,8,PCA,4.581941706846799
2640,20140422,8,PM2.5,53.0
2646,20140422,9,PCA,-0.4875100491033301
2646,20140422,9,PM2.5,56.0
2652,20140422,10,PCA,-9.125249329164031
2652,20140422,10,PM2.5,52.0
2658,20140422,11,PCA,-23.313347816274952
2658,20140422,11,PM2.5,48.0
