,date,hour,type,云岗
1152,20140411,16,PCA,-13.493325895514069
1152,20140411,16,PM2.5,37.0
1158,20140411,17,PCA,-12.414359760293209
1158,20140411,17,PM2.5,46.0
1164,20140411,18,PCA,-10.923024354182859
1164,20140411,18,PM2.5,50.0
1170,20140411,19,PCA,-5.740459504541951
1170,20140411,19,PM2.5,56.0
1176,20140411,20,PCA,0.981324055532027
1176,20140411,20,PM2.5,56.0
1182,20140411,21,PCA,23.336543684481395
1182,20140411,21,PM2.5,71.0
1188,20140411,22,PCA,29.86596705899228
1188,20140411,22,PM2.5,78.0
1194,20140411,23,PCA,27.80642508034896
1194,20140411,23,PM2.5,82.0
1200,20140412,0,PCA,39.60781987121731
1200,20140412,0,PM2.5,90.0
1206,20140412,1,PCA,46.58141189065653
1206,20140412,1,PM2.5,103.0
1212,20140412,2,PCA,48.018562875419626
1212,20140412,2,PM2.5,104.0
1218,20140412,3,PCA,24.86943346928938
1218,20140412,3,PM2.5,84.0
1224,20140412,4,PCA,37.96269091632007
1224,20140412,4,PM2.5,95.0
1230,20140412,5,PCA,25.568647464481522
1230,20140412,5,PM2.5,80.0
1236,20140412,6,PCA,16.499573917409357
1236,20140412,6,PM2.5,71.0
1242,20140412,7,PCA,25.7833728035
1242,20140412,7,PM2.5,80.0
1248,20140412,8,PCA,25.51050330035259
1248,20140412,8,PM2.5,87.0
1254,20140412,9,PCA,26.819155623058663
1254,20140412,9,PM2.5,90.0
1260,20140412,10,PCA,27.431372062375804
1260,20140412,10,PM2.5,93.0
1266,20140412,11,PCA,30.886878414638602
1266,20140412,11,PM2.5,103.0
1272,20140412,12,PCA,28.679899641555405
1272,20140412,12,PM2.5,105.0
1278,20140412,13,PCA,18.105494694999315
1278,20140412,13,PM2.5,99.0
1284,20140412,14,PCA,15.408031939654759
1284,20140412,14,PM2.5,93.0
1290,20140412,15,PCA,14.778188392905074
1290,20140412,15,PM2.5,92.0
1296,20140412,16,PCA,15.859153870746423
1296,20140412,16,PM2.5,91.0
1302,20140412,17,PCA,24.07911828475925
1302,20140412,17,PM2.5,98.0
1308,20140412,18,PCA,39.980701982412604
1308,20140412,18,PM2.5,114.0
1314,20140412,19,PCA,30.13728283997181
