,date,hour,type,门头沟
2688,20140422,16,PCA,-11.293857496452457
2688,20140422,16,PM2.5,58.5
2694,20140422,18,PCA,-1.1819487537820077
2694,20140422,18,PM2.5,62.0
2700,20140422,19,PCA,0.20809712165445657
2700,20140422,19,PM2.5,59.0
2706,20140422,20,PCA,-31.373698620314165
2706,20140422,20,PM2.5,30.0
2712,20140422,21,PCA,-41.3103217144871
2712,20140422,21,PM2.5,24.0
2718,20140422,22,PCA,-16.15200063328042
2718,20140422,22,PM2.5,35.0
2724,20140422,23,PCA,-20.907737092963778
2724,20140422,23,PM2.5,50.0
2730,20140423,0,PCA,-6.001108715455064
2730,20140423,0,PM2.5,52.0
2736,20140423,1,PCA,18.505333302538368
2736,20140423,1,PM2.5,62.0
