,date,hour,type,通州
1536,20140414,8,PM2.5,174.0
1542,20140414,9,PCA,217.6172901166701
1542,20140414,9,PM2.5,230.0
1548,20140414,10,PCA,226.99504111782605
1548,20140414,10,PM2.5,246.0
1554,20140414,11,PCA,236.02996222567708
1554,20140414,11,PM2.5,263.0
1560,20140414,12,PCA,237.77997117353866
1560,20140414,12,PM2.5,270.0
1566,20140414,13,PCA,199.21248254948335
1566,20140414,13,PM2.5,224.0
1572,20140414,14,PCA,185.8914037815194
1572,20140414,14,PM2.5,210.0
1578,20140414,15,PCA,199.70824475635268
1578,20140414,15,PM2.5,232.0
1584,20140414,16,PCA,164.12608435830072
1584,20140414,16,PM2.5,182.0
1590,20140414,17,PCA,162.33755467490806
1590,20140414,17,PM2.5,179.0
1596,20140414,18,PCA,173.72410293407165
1596,20140414,18,PM2.5,193.0
1602,20140414,19,PCA,184.32060783388
1602,20140414,19,PM2.5,200.0
1608,20140414,20,PCA,216.4579300425947
1608,20140414,20,PM2.5,236.0
1614,20140414,21,PCA,254.23730295613595
1614,20140414,21,PM2.5,262.0
1620,20140414,22,PCA,189.5970464833808
1620,20140414,22,PM2.5,188.0
1626,20140414,23,PCA,105.03145925570452
1626,20140414,23,PM2.5,77.0
1632,20140415,0,PCA,65.03347851070134
1632,20140415,0,PM2.5,38.0
1638,20140415,1,PCA,63.3184476136666
1638,20140415,1,PM2.5,42.0
1644,20140415,2,PCA,83.8670326310342
1644,20140415,2,PM2.5,55.0
1650,20140415,3,PCA,84.22901204692903
1650,20140415,3,PM2.5,55.0
1656,20140415,4,PCA,86.70920466483456
1656,20140415,4,PM2.5,62.0
1818,20140416,7,PCA,-8.331015844252658
1818,20140416,7,PM2.5,60.0
1824,20140416,8,PCA,-8.717253946471248
1824,20140416,8,PM2.5,60.0
1830,20140416,9,PCA,-23.54451866982031
1830,20140416,9,PM2.5,50.0
1836,20140416,10,PCA,-25.102491265946895
1836,20140416,10,PM2.5,49.0
1842,20140416,11,PCA,-33.53058564005478
1842,20140416,11,PM2.5,46.0
1848,20140416,12,PCA,-32.292672973505105
1848,20140416,12,PM2.5,53.0
1854,20140416,13,PCA,-12.695423840421004
1854,20140416,13,PM2.5,64.0
1860,20140416,14,PCA,-4.961166419774087
1860,20140416,14,PM2.5,65.0
1866,20140416,15,PCA,-0.39781360667168736
1866,20140416,15,PM2.5,69.0
1872,20140416,16,PCA,-20.262302012459333
1872,20140416,16,PM2.5,58.0
1878,20140416,17,PCA,-26.404150826997114
1878,20140416,17,PM2.5,58.0
1884,20140416,18,PCA,-20.569872628616256
1884,20140416,18,PM2.5,65.0
1890,20140416,19,PCA,-2.6933960418481417
1890,20140416,19,PM2.5,70.0
1896,20140416,20,PCA,62.33241885039135
1896,20140416,20,PM2.5,118.0
1902,20140416,21,PCA,149.24818984434603
1902,20140416,21,PM2.5,194.0
1908,20140416,22,PCA,138.11727798383092
1908,20140416,22,PM2.5,160.0
1914,20140416,23,PCA,126.51500030867662
1914,20140416,23,PM2.5,132.0
1920,20140417,0,PCA,95.54334270445189
1920,20140417,0,PM2.5,94.0
1926,20140417,1,PCA,69.01729667268637
1926,20140417,1,PM2.5,91.0
1932,20140417,2,PCA,61.683620886588294
1932,20140417,2,PM2.5,98.0
1938,20140417,3,PCA,61.21956097206475
1938,20140417,3,PM2.5,109.0
1944,20140417,4,PCA,59.620742700000775
1944,20140417,4,PM2.5,104.0
1950,20140417,5,PCA,57.958167099510746
1950,20140417,5,PM2.5,101.0
1956,20140417,6,PCA,57.458955807077565
1956,20140417,6,PM2.5,100.0
1962,20140417,7,PCA,49.14237614701971
1962,20140417,7,PM2.5,97.0
1968,20140417,8,PCA,59.013626691543294
1968,20140417,8,PM2.5,112.0
1974,20140417,9,PCA,44.23785379812004
1974,20140417,9,PM2.5,93.0
1980,20140417,10,PCA,59.58043184493148
1980,20140417,10,PM2.5,111.0
1986,20140417,11,PCA,53.67173063833395
1986,20140417,11,PM2.5,103.0
2004,20140417,14,PCA,9.302558872289838
2004,20140417,14,PM2.5,74.0
2010,20140417,15,PCA,14.187088895847504
2010,20140417,15,PM2.5,96.0
2016,20140417,16,PCA,10.154682250574313
2016,20140417,16,PM2.5,91.0
2022,20140417,17,PCA,3.9112210840840738
2022,20140417,17,PM2.5,83.0
2028,20140417,18,PCA,9.034142255188499
2028,20140417,18,PM2.5,87.0
2034,20140417,19,PCA,18.81869755522053
2034,20140417,19,PM2.5,91.0
2040,20140417,20,PCA,39.526562005051865
2040,20140417,20,PM2.5,106.0
2046,20140417,21,PCA,61.93975792093405
2046,20140417,21,PM2.5,117.0
2052,20140417,22,PCA,94.3294240450967
2052,20140417,22,PM2.5,135.0
2058,20140417,23,PCA,116.7604972652305
2058,20140417,23,PM2.5,152.0
2064,20140418,0,PCA,115.22274186076437
2064,20140418,0,PM2.5,147.0
2070,20140418,1,PCA,106.89854771212492
2070,20140418,1,PM2.5,130.0
2076,20140418,2,PCA,101.05983203916091
2076,20140418,2,PM2.5,128.0
2082,20140418,3,PCA,112.91790412025206
2082,20140418,3,PM2.5,147.0
2088,20140418,4,PCA,116.05518564828049
2088,20140418,4,PM2.5,150.0
2094,20140418,5,PCA,111.08413586011126
2094,20140418,5,PM2.5,140.0
2100,20140418,6,PCA,122.17865911453627
2100,20140418,6,PM2.5,149.0
2106,20140418,7,PCA,128.73926519924478
2106,20140418,7,PM2.5,157.0
2112,20140418,8,PCA,133.71746836659096
2112,20140418,8,PM2.5,160.0
2118,20140418,9,PCA,179.83965292625763
2118,20140418,9,PM2.5,209.0
2124,20140418,10,PCA,178.87293417775751
2124,20140418,10,PM2.5,192.0
2130,20140418,11,PCA,185.92473055700717
2130,20140418,11,PM2.5,196.0
2136,20140418,12,PCA,200.2770461675339
