,date,hour,type,密云
1422,20140413,13,PCA,87.16051496933382
1422,20140413,13,PM2.5,124.0
1428,20140413,14,PCA,101.52612178363458
1428,20140413,14,PM2.5,143.0
1434,20140413,15,PCA,114.57360080000943
1434,20140413,15,PM2.5,159.0
1440,20140413,16,PCA,120.70258124755541
1440,20140413,16,PM2.5,167.0
1446,20140413,17,PCA,119.99517740926981
1446,20140413,17,PM2.5,162.0
1452,20140413,18,PCA,134.7911205490682
1452,20140413,18,PM2.5,177.0
1458,20140413,19,PCA,140.58094063708253
1458,20140413,19,PM2.5,179.0
1464,20140413,20,PCA,141.59826670917386
1464,20140413,20,PM2.5,177.0
1470,20140413,21,PCA,153.4705122400725
1470,20140413,21,PM2.5,189.0
1476,20140413,22,PCA,156.53501145903928
1476,20140413,22,PM2.5,189.0
1482,20140413,23,PCA,181.46385227395447
1482,20140413,23,PM2.5,217.0
1488,20140414,0,PCA,187.44484419303342
1488,20140414,0,PM2.5,217.0
1494,20140414,1,PCA,194.7215060210184
1494,20140414,1,PM2.5,216.0
1500,20140414,2,PCA,200.89885191775002
1500,20140414,2,PM2.5,219.0
1506,20140414,3,PCA,181.8470275920981
1506,20140414,3,PM2.5,185.0
1512,20140414,4,PCA,190.35879109460714
1512,20140414,4,PM2.5,191.0
1518,20140414,5,PCA,187.34853258938156
1518,20140414,5,PM2.5,185.0
1524,20140414,6,PCA,185.45065277237077
1524,20140414,6,PM2.5,181.0
1530,20140414,7,PCA,207.42052467459047
1530,20140414,7,PM2.5,209.0
1536,20140414,8,PCA,224.95806025611202
1536,20140414,8,PM2.5,228.0
1542,20140414,9,PCA,225.35891327215532
1542,20140414,9,PM2.5,223.0
1548,20140414,10,PCA,254.27956183646089
1548,20140414,10,PM2.5,261.0
1554,20140414,11,PCA,250.4958930102843
1554,20140414,11,PM2.5,253.0
1560,20140414,12,PCA,260.18125082746167
1560,20140414,12,PM2.5,261.0
1566,20140414,13,PCA,273.7613184456277
1566,20140414,13,PM2.5,274.0
1572,20140414,14,PCA,245.70192388965165
1572,20140414,14,PM2.5,231.0
1578,20140414,15,PCA,211.88023447346
1578,20140414,15,PM2.5,179.0
1584,20140414,16,PCA,180.54883083473624
1584,20140414,16,PM2.5,127.0
1602,20140414,19,PCA,231.4589869829586
1602,20140414,19,PM2.5,198.0
1608,20140414,20,PCA,249.6674829001885
1608,20140414,20,PM2.5,217.0
1614,20140414,21,PCA,261.32085678328394
1614,20140414,21,PM2.5,225.0
1620,20140414,22,PCA,244.95043402199957
1620,20140414,22,PM2.5,210.0
1626,20140414,23,PCA,240.40491653262526
1626,20140414,23,PM2.5,205.0
1632,20140415,0,PCA,238.35029937533534
1632,20140415,0,PM2.5,205.0
1638,20140415,1,PCA,234.4346460123378
1638,20140415,1,PM2.5,203.0
1644,20140415,2,PCA,233.4001169280281
1644,20140415,2,PM2.5,199.0
1650,20140415,3,PCA,221.62009062026507
1650,20140415,3,PM2.5,178.0
1656,20140415,4,PCA,220.6659253103627
1656,20140415,4,PM2.5,174.0
1662,20140415,5,PCA,218.3832425733244
1662,20140415,5,PM2.5,176.0
1818,20140416,7,PCA,-8.328884410300192
1818,20140416,7,PM2.5,31.0
1824,20140416,8,PCA,0.18958815642322951
1824,20140416,8,PM2.5,37.0
1830,20140416,9,PCA,-2.181720771746104
1830,20140416,9,PM2.5,29.0
1836,20140416,10,PCA,-1.5341820505001866
1836,20140416,10,PM2.5,28.0
1842,20140416,11,PCA,7.0545606290048815
1842,20140416,11,PM2.5,38.0
1848,20140416,12,PCA,-4.753932076550319
1848,20140416,12,PM2.5,33.0
1854,20140416,13,PCA,-7.60712115459704
1854,20140416,13,PM2.5,37.0
1860,20140416,14,PCA,-6.21244320290276
1860,20140416,14,PM2.5,45.0
1866,20140416,15,PCA,-18.096133010782854
1866,20140416,15,PM2.5,36.0
1872,20140416,16,PCA,-15.700782247027709
1872,20140416,16,PM2.5,41.0
1878,20140416,17,PCA,-18.29986348292701
1878,20140416,17,PM2.5,39.0
1884,20140416,18,PCA,-19.264834902286665
1884,20140416,18,PM2.5,38.0
1890,20140416,19,PCA,-25.98282060824951
1890,20140416,19,PM2.5,29.0
1896,20140416,20,PCA,-18.83627938211789
1896,20140416,20,PM2.5,37.0
1902,20140416,21,PCA,-10.12258998050425
1902,20140416,21,PM2.5,43.0
1908,20140416,22,PCA,4.910131295930964
1908,20140416,22,PM2.5,54.0
1914,20140416,23,PCA,1.0074125984689786
1914,20140416,23,PM2.5,48.0
1920,20140417,0,PCA,4.316643743267767
1920,20140417,0,PM2.5,51.0
1926,20140417,1,PCA,-4.0510952424176425
1926,20140417,1,PM2.5,44.0
1932,20140417,2,PCA,-4.771185915852068
1932,20140417,2,PM2.5,39.0
1938,20140417,3,PCA,-5.875179355556357
1938,20140417,3,PM2.5,43.0
1944,20140417,4,PCA,-11.47057589876578
1944,20140417,4,PM2.5,42.0
1950,20140417,5,PCA,-4.8160071756828415
1950,20140417,5,PM2.5,47.0
1956,20140417,6,PCA,4.800217873913553
1956,20140417,6,PM2.5,54.0
1962,20140417,7,PCA,5.410935271607604
1962,20140417,7,PM2.5,55.0
1968,20140417,8,PCA,11.672375396666178
1968,20140417,8,PM2.5,64.0
1974,20140417,9,PCA,17.006939103238835
1974,20140417,9,PM2.5,69.0
1980,20140417,10,PCA,1.6425099058300388
1980,20140417,10,PM2.5,54.0
1986,20140417,11,PCA,2.141483100553206
1986,20140417,11,PM2.5,55.0
1992,20140417,12,PCA,4.190625963221466
1992,20140417,12,PM2.5,58.0
1998,20140417,13,PCA,8.317598260702923
1998,20140417,13,PM2.5,66.0
2004,20140417,14,PCA,4.002449899354754
2004,20140417,14,PM2.5,59.0
2010,20140417,15,PCA,11.999676812656787
2010,20140417,15,PM2.5,69.0
2016,20140417,16,PCA,19.930849789651365
2016,20140417,16,PM2.5,75.0
2022,20140417,17,PCA,15.790319009630919
2022,20140417,17,PM2.5,68.0
2028,20140417,18,PCA,26.060692516258776
2028,20140417,18,PM2.5,77.0
2034,20140417,19,PCA,35.618889059298404
2034,20140417,19,PM2.5,85.0
2040,20140417,20,PCA,42.896673679525016
2040,20140417,20,PM2.5,90.0
2046,20140417,21,PCA,55.7542420907984
2046,20140417,21,PM2.5,97.0
2052,20140417,22,PCA,67.21353955621234
2052,20140417,22,PM2.5,105.0
2058,20140417,23,PCA,74.7756054832
2058,20140417,23,PM2.5,107.0
2064,20140418,0,PCA,72.45770154710164
2064,20140418,0,PM2.5,97.0
2070,20140418,1,PCA,85.39955124691163
2070,20140418,1,PM2.5,110.0
2076,20140418,2,PCA,99.87193042986337
2076,20140418,2,PM2.5,125.0
2082,20140418,3,PCA,109.44390281239046
2082,20140418,3,PM2.5,134.0
2088,20140418,4,PCA,106.28773625826712
2088,20140418,4,PM2.5,118.0
2094,20140418,5,PCA,112.61369903938326
2094,20140418,5,PM2.5,122.0
2100,20140418,6,PCA,128.85123739653218
2100,20140418,6,PM2.5,142.0
2106,20140418,7,PCA,112.21866621845673
2106,20140418,7,PM2.5,122.0
2112,20140418,8,PCA,121.20163592366198
2112,20140418,8,PM2.5,130.0
2118,20140418,9,PCA,146.68185298758263
2118,20140418,9,PM2.5,156.0
2124,20140418,10,PCA,133.2341211042113
2124,20140418,10,PM2.5,139.0
2130,20140418,11,PCA,123.96272968218496
2130,20140418,11,PM2.5,129.0
2136,20140418,12,PCA,91.13460508160844
2136,20140418,12,PM2.5,94.0
2286,20140419,13,PCA,5.097986991839784
2286,20140419,13,PM2.5,59.0
2292,20140419,14,PCA,-13.121564953070461
2292,20140419,14,PM2.5,39.0
2298,20140419,15,PCA,-14.609243780199828
2298,20140419,15,PM2.5,41.0
2304,20140419,16,PCA,-5.55649392839544
