,date,hour,type,东四环
1992,20140417,12,PM2.5,85.0
1998,20140417,13,PCA,14.270606172733851
1998,20140417,13,PM2.5,73.0
2004,20140417,14,PCA,28.1167116592445
2004,20140417,14,PM2.5,97.0
2010,20140417,15,PCA,20.0498235974001
2010,20140417,15,PM2.5,84.0
2016,20140417,16,PCA,12.32900208416179
2016,20140417,16,PM2.5,81.0
2022,20140417,17,PCA,29.72406322727247
2022,20140417,17,PM2.5,99.0
2028,20140417,18,PCA,26.265517154141815
2028,20140417,18,PM2.5,91.0
2034,20140417,19,PCA,43.956082696744836
2034,20140417,19,PM2.5,103.0
2040,20140417,20,PCA,61.99700695714408
2040,20140417,20,PM2.5,117.0
2046,20140417,21,PCA,60.39402685987066
2046,20140417,21,PM2.5,108.0
2052,20140417,22,PCA,89.76579417955004
2052,20140417,22,PM2.5,130.0
2058,20140417,23,PCA,79.23044218827782
2058,20140417,23,PM2.5,115.0
2064,20140418,0,PCA,100.33022099243972
2064,20140418,0,PM2.5,138.0
2070,20140418,1,PCA,101.26162367162975
2070,20140418,1,PM2.5,133.0
2076,20140418,2,PCA,100.16501964117438
2076,20140418,2,PM2.5,133.0
2082,20140418,3,PCA,96.62565544247892
2082,20140418,3,PM2.5,126.0
2088,20140418,4,PCA,89.82451368325188
2088,20140418,4,PM2.5,121.0
2094,20140418,5,PCA,82.75392135034744
2094,20140418,5,PM2.5,117.0
2100,20140418,6,PCA,61.939403106813586
2100,20140418,6,PM2.5,101.0
2106,20140418,7,PCA,81.45206864974074
2106,20140418,7,PM2.5,130.0
2112,20140418,8,PCA,89.78793019492174
2112,20140418,8,PM2.5,136.0
2118,20140418,9,PCA,104.46031453923307
2118,20140418,9,PM2.5,145.0
2124,20140418,10,PCA,99.80516506419248
2124,20140418,10,PM2.5,129.0
2130,20140418,11,PCA,115.65252800857441
2130,20140418,11,PM2.5,144.0
2136,20140418,12,PCA,140.75195433736423
2136,20140418,12,PM2.5,173.0
2286,20140419,13,PCA,-41.01957730107873
2286,20140419,13,PM2.5,43.0
2292,20140419,14,PCA,-51.77412173386635
2292,20140419,14,PM2.5,42.0
