,date,hour,type,丰台花园
1446,20140413,17,PM2.5,165.0
1452,20140413,18,PCA,114.65220780565728
1452,20140413,18,PM2.5,155.0
1458,20140413,19,PCA,121.33173912799776
1458,20140413,19,PM2.5,156.0
1464,20140413,20,PCA,144.62963963619032
1464,20140413,20,PM2.5,173.0
1470,20140413,21,PCA,181.13665259360627
1470,20140413,21,PM2.5,202.0
1476,20140413,22,PCA,195.6582916611975
1476,20140413,22,PM2.5,215.0
1482,20140413,23,PCA,203.14268587394386
1482,20140413,23,PM2.5,210.0
1488,20140414,0,PCA,213.42227304770557
1488,20140414,0,PM2.5,220.0
1494,20140414,1,PCA,219.8077541026858
1494,20140414,1,PM2.5,228.0
1500,20140414,2,PCA,219.35583751639604
1500,20140414,2,PM2.5,238.0
1506,20140414,3,PCA,199.9621092220969
1506,20140414,3,PM2.5,210.0
1512,20140414,4,PCA,237.85727876601172
1512,20140414,4,PM2.5,252.0
1518,20140414,5,PCA,247.1572486798488
1518,20140414,5,PM2.5,262.0
1524,20140414,6,PCA,254.62865468179268
1524,20140414,6,PM2.5,269.0
1530,20140414,7,PCA,264.04793110430506
1530,20140414,7,PM2.5,279.0
1536,20140414,8,PCA,276.807133160656
1536,20140414,8,PM2.5,289.0
1542,20140414,9,PCA,283.0028339564135
1542,20140414,9,PM2.5,294.0
1548,20140414,10,PCA,288.3188412070005
1548,20140414,10,PM2.5,304.0
1554,20140414,11,PCA,294.19862752505094
1554,20140414,11,PM2.5,316.0
1560,20140414,12,PCA,296.9585131278104
1560,20140414,12,PM2.5,321.0
1566,20140414,13,PCA,311.09835181745063
1566,20140414,13,PM2.5,336.0
1572,20140414,14,PCA,281.55460959192555
1572,20140414,14,PM2.5,310.0
1578,20140414,15,PCA,228.06283027301774
1578,20140414,15,PM2.5,242.0
1584,20140414,16,PCA,197.98163654357276
1584,20140414,16,PM2.5,197.0
1590,20140414,17,PCA,182.86258665592013
1590,20140414,17,PM2.5,173.0
1596,20140414,18,PCA,243.43452056031853
1596,20140414,18,PM2.5,254.0
1602,20140414,19,PCA,266.1095498624202
1602,20140414,19,PM2.5,267.0
1608,20140414,20,PCA,279.7043104949112
1608,20140414,20,PM2.5,274.0
1614,20140414,21,PCA,287.4148523660884
1614,20140414,21,PM2.5,273.0
1620,20140414,22,PCA,224.13569616310014
1620,20140414,22,PM2.5,179.0
1626,20140414,23,PCA,148.3885422270959
1626,20140414,23,PM2.5,80.0
1632,20140415,0,PCA,117.95249944150987
1632,20140415,0,PM2.5,51.0
1638,20140415,1,PCA,111.8307243128294
1638,20140415,1,PM2.5,51.0
1644,20140415,2,PCA,104.13649490096914
1644,20140415,2,PM2.5,27.0
1650,20140415,3,PCA,107.0950058690405
1650,20140415,3,PM2.5,55.0
1656,20140415,4,PCA,110.05105887684753
1656,20140415,4,PM2.5,53.0
1662,20140415,5,PCA,116.98698651420536
1662,20140415,5,PM2.5,63.0
1830,20140416,9,PCA,-4.100062271493928
1830,20140416,9,PM2.5,52.0
1848,20140416,12,PCA,-35.13987123952866
1848,20140416,12,PM2.5,42.0
1854,20140416,13,PCA,-35.68971845812827
1854,20140416,13,PM2.5,44.0
1860,20140416,14,PCA,-39.65701860285995
1860,20140416,14,PM2.5,45.0
1866,20140416,15,PCA,-42.93910289696562
1866,20140416,15,PM2.5,46.0
1872,20140416,16,PCA,-44.36411673417854
1872,20140416,16,PM2.5,44.5
1878,20140416,17,PCA,-45.78913057139144
1878,20140416,17,PM2.5,43.0
1974,20140417,9,PCA,34.442059166068475
1974,20140417,9,PM2.5,90.0
1980,20140417,10,PCA,41.34071050320191
1980,20140417,10,PM2.5,98.0
1986,20140417,11,PCA,46.45513249591696
1986,20140417,11,PM2.5,97.0
1992,20140417,12,PCA,48.98186640224377
1992,20140417,12,PM2.5,100.0
1998,20140417,13,PCA,48.25737522286562
1998,20140417,13,PM2.5,109.0
2004,20140417,14,PCA,16.728562348520295
2004,20140417,14,PM2.5,81.0
2010,20140417,15,PCA,14.114876484297612
2010,20140417,15,PM2.5,82.0
2016,20140417,16,PCA,17.39784744055711
2016,20140417,16,PM2.5,89.0
2022,20140417,17,PCA,21.101894724506124
2022,20140417,17,PM2.5,93.0
2028,20140417,18,PCA,28.225926140359235
2028,20140417,18,PM2.5,100.0
2034,20140417,19,PCA,38.08121883312083
2034,20140417,19,PM2.5,104.0
2040,20140417,20,PCA,45.08749582361175
2040,20140417,20,PM2.5,112.0
2046,20140417,21,PCA,82.12797759018528
2046,20140417,21,PM2.5,146.0
2052,20140417,22,PCA,91.04019189720175
2052,20140417,22,PM2.5,130.0
2058,20140417,23,PCA,120.3008724530195
2058,20140417,23,PM2.5,142.0
2064,20140418,0,PCA,133.5715616972241
2064,20140418,0,PM2.5,148.0
2070,20140418,1,PCA,127.04562189379911
2070,20140418,1,PM2.5,143.0
2076,20140418,2,PCA,127.1152005783328
2076,20140418,2,PM2.5,145.0
2082,20140418,3,PCA,130.0878352184027
2082,20140418,3,PM2.5,149.0
2088,20140418,4,PCA,158.12110025846388
2088,20140418,4,PM2.5,180.0
2094,20140418,5,PCA,145.1820292219247
