,date,hour,type,农展馆
1530,20140414,7,PM2.5,197.0
1536,20140414,8,PCA,232.1999881442664
1536,20140414,8,PM2.5,238.0
1542,20140414,9,PCA,229.85486806357866
1542,20140414,9,PM2.5,233.0
1548,20140414,10,PCA,260.7410282032718
1548,20140414,10,PM2.5,272.0
1554,20140414,11,PCA,265.68232869493
1554,20140414,11,PM2.5,284.0
1560,20140414,12,PCA,273.84553743760256
1560,20140414,12,PM2.5,295.0
1566,20140414,13,PCA,262.4691223097129
1566,20140414,13,PM2.5,287.0
1572,20140414,14,PCA,219.69566877363198
1572,20140414,14,PM2.5,235.0
1578,20140414,15,PCA,199.76020544986807
1578,20140414,15,PM2.5,217.0
1584,20140414,16,PCA,201.07785077915517
1584,20140414,16,PM2.5,218.0
1590,20140414,17,PCA,165.19005981678916
1590,20140414,17,PM2.5,163.0
1596,20140414,18,PCA,173.8403539566859
1596,20140414,18,PM2.5,171.0
1602,20140414,19,PCA,193.48539385418727
1602,20140414,19,PM2.5,193.0
1608,20140414,20,PCA,204.38371326512336
1608,20140414,20,PM2.5,198.0
1614,20140414,21,PCA,226.0848215726328
1614,20140414,21,PM2.5,209.0
1620,20140414,22,PCA,213.13418946250405
1620,20140414,22,PM2.5,195.0
1626,20140414,23,PCA,130.19673771914324
1626,20140414,23,PM2.5,85.0
1632,20140415,0,PCA,104.44441829071998
1632,20140415,0,PM2.5,54.0
1638,20140415,1,PCA,91.47925180146534
1638,20140415,1,PM2.5,45.0
1644,20140415,2,PCA,85.8058701382398
1644,20140415,2,PM2.5,42.0
1650,20140415,3,PCA,87.23791979078167
1650,20140415,3,PM2.5,41.0
1656,20140415,4,PCA,95.1313818042516
1656,20140415,4,PM2.5,47.5
1662,20140415,5,PCA,103.02484381772156
1662,20140415,5,PM2.5,54.0
1818,20140416,7,PCA,-23.5566198705356
1818,20140416,7,PM2.5,37.0
1824,20140416,8,PCA,-12.37130854658647
1824,20140416,8,PM2.5,48.0
1830,20140416,9,PCA,-15.975773739205922
1830,20140416,9,PM2.5,38.0
1836,20140416,10,PCA,-16.677404200388846
1836,20140416,10,PM2.5,44.0
1842,20140416,11,PCA,-23.11070135654186
1842,20140416,11,PM2.5,38.0
1848,20140416,12,PCA,-28.70731518816277
1848,20140416,12,PM2.5,41.0
1854,20140416,13,PCA,-19.823838205226078
1854,20140416,13,PM2.5,51.0
1860,20140416,14,PCA,-24.197036603041852
1860,20140416,14,PM2.5,50.0
1866,20140416,15,PCA,-29.320048891396368
1866,20140416,15,PM2.5,38.0
1872,20140416,16,PCA,-22.004733632645866
1872,20140416,16,PM2.5,49.0
1878,20140416,17,PCA,-31.957161703333597
1878,20140416,17,PM2.5,42.0
1884,20140416,18,PCA,-13.548669377208066
