,date,hour,type,亦庄
1920,20140417,0,PM2.5,100.0
1926,20140417,1,PCA,56.16928972633727
1926,20140417,1,PM2.5,96.0
1932,20140417,2,PCA,61.59517277320831
1932,20140417,2,PM2.5,97.0
1938,20140417,3,PCA,68.87312053054305
1938,20140417,3,PM2.5,106.0
1944,20140417,4,PCA,79.96679628720388
1944,20140417,4,PM2.5,120.0
1950,20140417,5,PCA,60.597924741064155
1950,20140417,5,PM2.5,100.0
1956,20140417,6,PCA,56.65620880795228
1956,20140417,6,PM2.5,98.0
1962,20140417,7,PCA,47.915661016977815
1962,20140417,7,PM2.5,92.0
1968,20140417,8,PCA,40.414422447409386
1968,20140417,8,PM2.5,89.0
1974,20140417,9,PCA,59.730961154415105
1974,20140417,9,PM2.5,109.0
1980,20140417,10,PCA,49.59739036277931
1980,20140417,10,PM2.5,94.0
1986,20140417,11,PCA,57.764795594822154
1986,20140417,11,PM2.5,102.0
1992,20140417,12,PCA,53.72408748034156
1992,20140417,12,PM2.5,102.0
1998,20140417,13,PCA,21.99453228066159
1998,20140417,13,PM2.5,75.0
2004,20140417,14,PCA,22.353121484017578
2004,20140417,14,PM2.5,85.0
2010,20140417,15,PCA,15.347604100168448
2010,20140417,15,PM2.5,84.0
2016,20140417,16,PCA,13.690556191642328
2016,20140417,16,PM2.5,88.0
2022,20140417,17,PCA,45.751651575950305
2022,20140417,17,PM2.5,123.0
2028,20140417,18,PCA,37.64261678031559
2028,20140417,18,PM2.5,108.0
2034,20140417,19,PCA,46.787521727550995
2034,20140417,19,PM2.5,112.0
2040,20140417,20,PCA,59.23231358086167
2040,20140417,20,PM2.5,118.0
2046,20140417,21,PCA,64.71174645395385
2046,20140417,21,PM2.5,119.0
2052,20140417,22,PCA,70.17797617081389
2052,20140417,22,PM2.5,107.0
2058,20140417,23,PCA,74.0575702866693
2058,20140417,23,PM2.5,117.0
2064,20140418,0,PCA,69.12130033366732
2064,20140418,0,PM2.5,112.0
2070,20140418,1,PCA,90.71944980675666
2070,20140418,1,PM2.5,135.0
2076,20140418,2,PCA,95.83333978630917
2076,20140418,2,PM2.5,131.0
2082,20140418,3,PCA,74.39376283472531
2082,20140418,3,PM2.5,106.0
2088,20140418,4,PCA,88.51337106567996
2088,20140418,4,PM2.5,125.0
2094,20140418,5,PCA,86.8604026706175
2094,20140418,5,PM2.5,126.0
2100,20140418,6,PCA,83.23197638742572
2100,20140418,6,PM2.5,124.0
2106,20140418,7,PCA,82.11806952766095
2106,20140418,7,PM2.5,117.0
2112,20140418,8,PCA,69.11738918940704
2112,20140418,8,PM2.5,105.0
2118,20140418,9,PCA,112.49562674983586
2118,20140418,9,PM2.5,157.0
2124,20140418,10,PCA,109.36923190344336
2124,20140418,10,PM2.5,143.0
2130,20140418,11,PCA,129.08181749813002
2130,20140418,11,PM2.5,158.0
2136,20140418,12,PCA,151.77522861447255
2136,20140418,12,PM2.5,175.0
2142,20140418,13,PCA,163.10841159975786
2142,20140418,13,PM2.5,189.0
2148,20140418,14,PCA,173.7552095688255
2148,20140418,14,PM2.5,203.0
2154,20140418,15,PCA,169.47478863471036
2154,20140418,15,PM2.5,192.0
2160,20140418,16,PCA,162.8266052325632
2160,20140418,16,PM2.5,181.0
2166,20140418,17,PCA,134.72445461896243
2166,20140418,17,PM2.5,154.0
2172,20140418,18,PCA,114.33083430009609
2172,20140418,18,PM2.5,125.0
2178,20140418,19,PCA,72.66336522996545
2178,20140418,19,PM2.5,85.0
2184,20140418,20,PCA,30.803209874073467
2184,20140418,20,PM2.5,74.0
2190,20140418,21,PCA,-16.47396927662156
2190,20140418,21,PM2.5,46.0
2196,20140418,22,PCA,-28.911809473664736
2196,20140418,22,PM2.5,43.0
2202,20140418,23,PCA,-16.847124110535525
2202,20140418,23,PM2.5,67.0
2208,20140419,0,PCA,3.617091167626085
2208,20140419,0,PM2.5,78.0
2214,20140419,1,PCA,14.03415403174402
2214,20140419,1,PM2.5,83.0
2220,20140419,2,PCA,23.643131727141437
2220,20140419,2,PM2.5,78.0
2226,20140419,3,PCA,23.70024530972064
2226,20140419,3,PM2.5,76.0
2232,20140419,4,PCA,16.023010781155413
2232,20140419,4,PM2.5,69.0
2238,20140419,5,PCA,-1.3818051930093787
2238,20140419,5,PM2.5,61.0
2244,20140419,6,PCA,-12.555382074621125
2244,20140419,6,PM2.5,54.0
2250,20140419,7,PCA,-13.511924522819752
2250,20140419,7,PM2.5,57.0
2256,20140419,8,PCA,-4.503917074973554
2256,20140419,8,PM2.5,67.0
2262,20140419,9,PCA,-11.49447065676185
2262,20140419,9,PM2.5,59.0
2268,20140419,10,PCA,5.162057566446622
2268,20140419,10,PM2.5,80.0
2274,20140419,11,PCA,-17.458274710888634
2274,20140419,11,PM2.5,55.0
2280,20140419,12,PCA,-38.4944856288055
2280,20140419,12,PM2.5,37.0
2286,20140419,13,PCA,-13.49283775228785
2286,20140419,13,PM2.5,70.0
2292,20140419,14,PCA,-40.46169908613175
2292,20140419,14,PM2.5,46.0
2298,20140419,15,PCA,-30.164915344596317
2298,20140419,15,PM2.5,54.0
2304,20140419,16,PCA,-41.72636316008219
2304,20140419,16,PM2.5,40.0
2310,20140419,17,PCA,-48.55270924452526
2310,20140419,17,PM2.5,50.0
2316,20140419,18,PCA,-51.82052353799948
2316,20140419,18,PM2.5,47.0
2322,20140419,19,PCA,-59.56016272858296
2322,20140419,19,PM2.5,35.0
2328,20140419,20,PCA,-45.202881245670994
2328,20140419,20,PM2.5,43.0
