,date,hour,type,奥体中心
1866,20140416,15,PCA,-11.017406378236794
1866,20140416,15,PM2.5,40.5
1872,20140416,16,PCA,-38.07153866897449
1872,20140416,16,PM2.5,19.0
1878,20140416,17,PCA,-16.98948167783394
1878,20140416,17,PM2.5,57.0
1884,20140416,18,PCA,-17.364914702965887
1884,20140416,18,PM2.5,57.0
1890,20140416,19,PCA,5.431666583066185
1890,20140416,19,PM2.5,65.0
1896,20140416,20,PCA,26.83021179073671
1896,20140416,20,PM2.5,66.0
1902,20140416,21,PCA,45.04965471876463
1902,20140416,21,PM2.5,73.0
1908,20140416,22,PCA,50.77309966659115
1908,20140416,22,PM2.5,77.0
1914,20140416,23,PCA,56.48652802033389
1914,20140416,23,PM2.5,81.0
1920,20140417,0,PCA,68.72661202207313
1920,20140417,0,PM2.5,92.0
1926,20140417,1,PCA,84.85991364378746
1926,20140417,1,PM2.5,109.0
1932,20140417,2,PCA,87.09171274001024
1932,20140417,2,PM2.5,101.0
1938,20140417,3,PCA,78.82386563700912
1938,20140417,3,PM2.5,89.0
1944,20140417,4,PCA,84.503723146535
1944,20140417,4,PM2.5,96.0
1950,20140417,5,PCA,92.28704140097837
1950,20140417,5,PM2.5,109.0
1956,20140417,6,PCA,85.23519406681041
1956,20140417,6,PM2.5,100.0
1962,20140417,7,PCA,73.32020726507474
1962,20140417,7,PM2.5,91.0
1968,20140417,8,PCA,69.8636477951964
1968,20140417,8,PM2.5,96.0
1974,20140417,9,PCA,69.8554337682017
1974,20140417,9,PM2.5,107.0
1980,20140417,10,PCA,62.68224942046734
1980,20140417,10,PM2.5,104.0
1986,20140417,11,PCA,32.14500990912289
1986,20140417,11,PM2.5,70.0
1992,20140417,12,PCA,23.94822057154843
1992,20140417,12,PM2.5,68.0
1998,20140417,13,PCA,14.878905120203727
1998,20140417,13,PM2.5,74.0
2004,20140417,14,PCA,8.739843268473143
2004,20140417,14,PM2.5,79.0
2010,20140417,15,PCA,13.5309265512982
2010,20140417,15,PM2.5,84.0
2016,20140417,16,PCA,33.05959610442475
2016,20140417,16,PM2.5,103.0
2022,20140417,17,PCA,23.680355536110614
2022,20140417,17,PM2.5,84.0
2028,20140417,18,PCA,60.09368016750431
2028,20140417,18,PM2.5,117.0
2034,20140417,19,PCA,79.36730551651549
2034,20140417,19,PM2.5,130.0
2040,20140417,20,PCA,80.06951347091758
2040,20140417,20,PM2.5,127.0
2046,20140417,21,PCA,74.52088878335479
2046,20140417,21,PM2.5,108.0
2052,20140417,22,PCA,78.43615414715144
2052,20140417,22,PM2.5,109.0
2058,20140417,23,PCA,76.09578173140703
2058,20140417,23,PM2.5,115.0
2064,20140418,0,PCA,89.42869444573361
2064,20140418,0,PM2.5,119.0
2070,20140418,1,PCA,96.70939034628037
2070,20140418,1,PM2.5,124.0
2076,20140418,2,PCA,129.44163979036597
2076,20140418,2,PM2.5,159.0
2082,20140418,3,PCA,108.15915796516558
2082,20140418,3,PM2.5,128.0
2088,20140418,4,PCA,135.46541420661234
2088,20140418,4,PM2.5,154.0
2094,20140418,5,PCA,118.33979649673303
2094,20140418,5,PM2.5,125.0
2100,20140418,6,PCA,133.1848125163312
2100,20140418,6,PM2.5,148.0
2106,20140418,7,PCA,125.01240444101867
2106,20140418,7,PM2.5,134.0
2112,20140418,8,PCA,130.76842909339203
2112,20140418,8,PM2.5,146.0
2118,20140418,9,PCA,115.96587242390575
2118,20140418,9,PM2.5,126.0
2124,20140418,10,PCA,151.32747081201538
2124,20140418,10,PM2.5,169.0
2130,20140418,11,PCA,172.8803740142526
2130,20140418,11,PM2.5,188.0
2136,20140418,12,PCA,164.50805610033063
2136,20140418,12,PM2.5,181.0
2286,20140419,13,PCA,-37.99446840785501
2286,20140419,13,PM2.5,41.0
2292,20140419,14,PCA,-35.882401797158714
2292,20140419,14,PM2.5,40.0
2298,20140419,15,PCA,-25.506507007604988
2298,20140419,15,PM2.5,46.0
2304,20140419,16,PCA,-15.586984820280204
2304,20140419,16,PM2.5,56.0
2310,20140419,17,PCA,-8.90164318433031
2310,20140419,17,PM2.5,63.0
2316,20140419,18,PCA,-11.419369047577982
2316,20140419,18,PM2.5,60.0
2322,20140419,19,PCA,-17.585050369189833
2322,20140419,19,PM2.5,56.0
2328,20140419,20,PCA,-8.749971600597172
2328,20140419,20,PM2.5,62.0
2334,20140419,21,PCA,-5.089968541325592
2334,20140419,21,PM2.5,66.0
2340,20140419,22,PCA,4.130607621082207
2340,20140419,22,PM2.5,69.0
2346,20140419,23,PCA,21.33773606078858
2346,20140419,23,PM2.5,77.0
2352,20140420,0,PCA,37.18992269518561
2352,20140420,0,PM2.5,85.0
2358,20140420,1,PCA,44.35857853044135
2358,20140420,1,PM2.5,88.0
2364,20140420,2,PCA,79.77420792918335
2364,20140420,2,PM2.5,121.0
2370,20140420,3,PCA,76.68511008527764
2370,20140420,3,PM2.5,108.0
2376,20140420,4,PCA,75.42487384060568
2376,20140420,4,PM2.5,102.0
2382,20140420,5,PCA,76.68593073321126
2382,20140420,5,PM2.5,101.0
2388,20140420,6,PCA,49.629865594468846
2388,20140420,6,PM2.5,81.0
2394,20140420,7,PCA,54.77219187343176
2394,20140420,7,PM2.5,95.0
2400,20140420,8,PCA,51.344844239240516
2400,20140420,8,PM2.5,96.0
2406,20140420,9,PCA,38.95193023350824
2406,20140420,9,PM2.5,85.0
2412,20140420,10,PCA,17.170700440786
2412,20140420,10,PM2.5,63.0
2418,20140420,11,PCA,-19.457177174798293
2418,20140420,11,PM2.5,31.0
2424,20140420,12,PCA,-47.196051020441196
2424,20140420,12,PM2.5,25.0
2430,20140420,13,PCA,-68.31512697289781
2430,20140420,13,PM2.5,23.0
2436,20140420,14,PCA,-83.16856896597541
2436,20140420,14,PM2.5,21.0
2442,20140420,15,PCA,-78.77550611942006
2442,20140420,15,PM2.5,21.0
2448,20140420,16,PCA,-62.345527100715074
2448,20140420,16,PM2.5,37.0
2454,20140420,17,PCA,-38.25755102054683
2454,20140420,17,PM2.5,53.0
2460,20140420,18,PCA,-22.929991076855742
2460,20140420,18,PM2.5,61.0
2466,20140420,19,PCA,-13.743162661448544
2466,20140420,19,PM2.5,61.0
2472,20140420,20,PCA,-15.139805050839852
2472,20140420,20,PM2.5,61.0
2478,20140420,21,PCA,1.125206548502396
2478,20140420,21,PM2.5,63.0
2484,20140420,22,PCA,12.21312376763282
2484,20140420,22,PM2.5,65.0
