,date,hour,type,八达岭
1848,20140416,12,PCA,-8.937562289809149
1848,20140416,12,PM2.5,47.0
1854,20140416,13,PCA,-19.499052576210016
1854,20140416,13,PM2.5,29.0
1860,20140416,14,PCA,10.119096378194902
1860,20140416,14,PM2.5,72.0
1866,20140416,15,PCA,-7.683740658472522
1866,20140416,15,PM2.5,44.0
1872,20140416,16,PCA,-25.03093311117379
1872,20140416,16,PM2.5,19.0
1878,20140416,17,PCA,-17.450429695825196
1878,20140416,17,PM2.5,32.0
1884,20140416,18,PCA,-12.91844053609071
1884,20140416,18,PM2.5,39.0
1890,20140416,19,PCA,0.9358420986166754
1890,20140416,19,PM2.5,47.0
1896,20140416,20,PCA,6.24467459671509
1896,20140416,20,PM2.5,45.0
1902,20140416,21,PCA,8.29781709745789
1902,20140416,21,PM2.5,46.0
1908,20140416,22,PCA,20.219765551092696
1908,20140416,22,PM2.5,63.0
1914,20140416,23,PCA,13.46425135961412
1914,20140416,23,PM2.5,57.0
1920,20140417,0,PCA,6.464113976472248
1920,20140417,0,PM2.5,48.0
1926,20140417,1,PCA,4.136290880710363
1926,20140417,1,PM2.5,46.0
1932,20140417,2,PCA,14.837874736739545
1932,20140417,2,PM2.5,60.0
1938,20140417,3,PCA,19.712325629733307
1938,20140417,3,PM2.5,66.0
1944,20140417,4,PCA,18.51953268487099
1944,20140417,4,PM2.5,66.0
1950,20140417,5,PCA,25.289052132346647
1950,20140417,5,PM2.5,78.0
1956,20140417,6,PCA,18.77816650263143
1956,20140417,6,PM2.5,64.0
1962,20140417,7,PCA,11.255119075409178
1962,20140417,7,PM2.5,58.0
1968,20140417,8,PCA,13.022910693889797
1968,20140417,8,PM2.5,59.0
1974,20140417,9,PCA,18.082962574786094
1974,20140417,9,PM2.5,70.0
1980,20140417,10,PCA,13.63737019035026
1980,20140417,10,PM2.5,64.0
1986,20140417,11,PCA,17.835456464479066
1986,20140417,11,PM2.5,67.0
1992,20140417,12,PCA,11.220243051790264
1992,20140417,12,PM2.5,57.0
1998,20140417,13,PCA,35.014968737326924
1998,20140417,13,PM2.5,86.0
2004,20140417,14,PCA,35.45737666262655
2004,20140417,14,PM2.5,79.0
2010,20140417,15,PCA,36.31272257239414
2010,20140417,15,PM2.5,75.0
2016,20140417,16,PCA,54.803578573485304
2016,20140417,16,PM2.5,90.0
2022,20140417,17,PCA,55.35177586624101
2022,20140417,17,PM2.5,88.0
2028,20140417,18,PCA,75.47859034810898
2028,20140417,18,PM2.5,109.0
2034,20140417,19,PCA,82.44852498012693
2034,20140417,19,PM2.5,108.0
2040,20140417,20,PCA,47.17148855991077
2040,20140417,20,PM2.5,62.0
2046,20140417,21,PCA,55.900368173833385
2046,20140417,21,PM2.5,80.0
2052,20140417,22,PCA,88.14910808455262
2052,20140417,22,PM2.5,126.0
2058,20140417,23,PCA,69.6387869435875
2058,20140417,23,PM2.5,102.0
2064,20140418,0,PCA,46.12897277660887
2064,20140418,0,PM2.5,63.0
2070,20140418,1,PCA,58.70069384295152
2070,20140418,1,PM2.5,86.0
2076,20140418,2,PCA,58.16170543457738
2076,20140418,2,PM2.5,96.0
2082,20140418,3,PCA,57.76073508782468
2082,20140418,3,PM2.5,99.0
2088,20140418,4,PCA,95.63151029727555
2088,20140418,4,PM2.5,133.0
2094,20140418,5,PCA,93.78583738538008
2094,20140418,5,PM2.5,118.0
2100,20140418,6,PCA,85.52934208123457
2100,20140418,6,PM2.5,110.0
2106,20140418,7,PCA,72.348299303367
2106,20140418,7,PM2.5,89.0
2112,20140418,8,PCA,66.93630285424156
2112,20140418,8,PM2.5,92.0
2118,20140418,9,PCA,68.66818267510617
2118,20140418,9,PM2.5,99.0
2124,20140418,10,PCA,92.26798781341012
2124,20140418,10,PM2.5,128.0
2130,20140418,11,PCA,73.50495891705789
2130,20140418,11,PM2.5,95.0
2136,20140418,12,PCA,47.073202170658156
2136,20140418,12,PM2.5,65.0
2286,20140419,13,PCA,3.4506781780266467
2286,20140419,13,PM2.5,52.0
2292,20140419,14,PCA,-4.317975435022457
2292,20140419,14,PM2.5,45.0
2298,20140419,15,PCA,-6.020349020672113
2298,20140419,15,PM2.5,45.0
2304,20140419,16,PCA,-5.034010682499441
2304,20140419,16,PM2.5,52.0
2310,20140419,17,PCA,-0.3396745221529065
2310,20140419,17,PM2.5,57.0
2316,20140419,18,PCA,-12.600394198586729
2316,20140419,18,PM2.5,36.0
2322,20140419,19,PCA,4.24188114443832
2322,20140419,19,PM2.5,54.0
2328,20140419,20,PCA,3.9466737284273106
2328,20140419,20,PM2.5,54.0
2334,20140419,21,PCA,-1.5639889050715317
2334,20140419,21,PM2.5,50.0
2340,20140419,22,PCA,2.132757044338889
2340,20140419,22,PM2.5,51.0
2346,20140419,23,PCA,5.04308722735851
2346,20140419,23,PM2.5,58.0
2352,20140420,0,PCA,-27.873789478592386
2352,20140420,0,PM2.5,23.0
2358,20140420,1,PCA,9.452086086920945
2358,20140420,1,PM2.5,71.0
2364,20140420,2,PCA,2.9238696510061786
2364,20140420,2,PM2.5,59.0
2370,20140420,3,PCA,7.670970667376121
2370,20140420,3,PM2.5,64.0
2376,20140420,4,PCA,16.842559176039813
2376,20140420,4,PM2.5,65.0
2382,20140420,5,PCA,16.98684653092615
2382,20140420,5,PM2.5,69.0
2388,20140420,6,PCA,-6.698458598761995
2388,20140420,6,PM2.5,45.0
2394,20140420,7,PCA,-6.419519841537618
2394,20140420,7,PM2.5,49.0
2400,20140420,8,PCA,-10.926259612820752
2400,20140420,8,PM2.5,49.0
2406,20140420,9,PCA,-28.938387847319188
2406,20140420,9,PM2.5,29.0
2412,20140420,10,PCA,-40.67554928428768
2412,20140420,10,PM2.5,19.0
2418,20140420,11,PCA,-52.880281548741436
2418,20140420,11,PM2.5,15.0
2424,20140420,12,PCA,10.002074066223232
2424,20140420,12,PM2.5,101.0
2442,20140420,15,PCA,75.876330323426
2442,20140420,15,PM2.5,174.0
2448,20140420,16,PCA,55.04080653615327
2448,20140420,16,PM2.5,119.0
2454,20140420,17,PCA,24.805178891016972
2454,20140420,17,PM2.5,64.0
2460,20140420,18,PCA,14.284372011683402
2460,20140420,18,PM2.5,34.0
2466,20140420,19,PCA,-30.95054715304401
2466,20140420,19,PM2.5,20.0
2472,20140420,20,PCA,-35.89173201811835
2472,20140420,20,PM2.5,25.0
2478,20140420,21,PCA,-43.84590304358772
2478,20140420,21,PM2.5,30.0
2484,20140420,22,PCA,-45.30777635619574
2484,20140420,22,PM2.5,28.0
2616,20140422,4,PCA,-43.275729406728885
