,date,hour,type,顺义
1482,20140413,23,PCA,232.40444059242523
1482,20140413,23,PM2.5,253.0
1488,20140414,0,PCA,234.98532957816462
1488,20140414,0,PM2.5,251.0
1494,20140414,1,PCA,205.54350073756729
1494,20140414,1,PM2.5,215.0
1500,20140414,2,PCA,202.99422449073757
1500,20140414,2,PM2.5,207.0
1506,20140414,3,PCA,210.56047091461147
1506,20140414,3,PM2.5,209.0
1512,20140414,4,PCA,213.49477005756168
1512,20140414,4,PM2.5,206.0
1518,20140414,5,PCA,213.58824778390672
1518,20140414,5,PM2.5,201.0
1524,20140414,6,PCA,235.00618308072697
1524,20140414,6,PM2.5,230.0
1530,20140414,7,PCA,238.54527529979862
1530,20140414,7,PM2.5,233.0
1536,20140414,8,PCA,250.4425983001354
1536,20140414,8,PM2.5,240.0
1542,20140414,9,PCA,257.99725587518543
1542,20140414,9,PM2.5,249.0
1548,20140414,10,PCA,268.66986876964273
1548,20140414,10,PM2.5,267.0
1554,20140414,11,PCA,236.79578232173677
1554,20140414,11,PM2.5,227.0
1560,20140414,12,PCA,269.45784087613384
1560,20140414,12,PM2.5,274.0
1566,20140414,13,PCA,278.61568156394316
1566,20140414,13,PM2.5,285.0
1572,20140414,14,PCA,232.77469803808088
1572,20140414,14,PM2.5,223.0
1578,20140414,15,PCA,219.43992348082335
1578,20140414,15,PM2.5,204.0
1584,20140414,16,PCA,219.73314144277566
1584,20140414,16,PM2.5,209.0
1590,20140414,17,PCA,210.98947789149506
1590,20140414,17,PM2.5,197.0
1596,20140414,18,PCA,199.0028643633468
1596,20140414,18,PM2.5,176.0
1602,20140414,19,PCA,234.3498849948751
1602,20140414,19,PM2.5,216.0
1608,20140414,20,PCA,263.29249438542996
1608,20140414,20,PM2.5,245.0
1614,20140414,21,PCA,276.52038462284764
1614,20140414,21,PM2.5,254.0
1620,20140414,22,PCA,281.1766081612687
1620,20140414,22,PM2.5,262.0
1626,20140414,23,PCA,281.69287747640874
1626,20140414,23,PM2.5,259.0
1632,20140415,0,PCA,250.1789048154761
1632,20140415,0,PM2.5,211.0
1638,20140415,1,PCA,230.87929317584306
1638,20140415,1,PM2.5,184.0
1644,20140415,2,PCA,174.9146816170704
1644,20140415,2,PM2.5,116.0
1650,20140415,3,PCA,153.64481329105172
1650,20140415,3,PM2.5,92.0
1656,20140415,4,PCA,146.287539780089
1656,20140415,4,PM2.5,86.0
1662,20140415,5,PCA,153.04195929097727
1662,20140415,5,PM2.5,93.0
1818,20140416,7,PCA,12.106689282110633
1818,20140416,7,PM2.5,51.0
1824,20140416,8,PCA,18.737339953131173
1824,20140416,8,PM2.5,54.0
1830,20140416,9,PCA,23.015722734556853
1830,20140416,9,PM2.5,53.0
1836,20140416,10,PCA,20.194912122628732
1836,20140416,10,PM2.5,56.0
1842,20140416,11,PCA,11.296550260614042
1842,20140416,11,PM2.5,49.0
1848,20140416,12,PCA,11.015062382111234
1848,20140416,12,PM2.5,66.0
1854,20140416,13,PCA,27.586443330043704
1854,20140416,13,PM2.5,90.0
1860,20140416,14,PCA,32.45708289955324
1860,20140416,14,PM2.5,89.0
1866,20140416,15,PCA,15.348478001647479
1866,20140416,15,PM2.5,70.0
1872,20140416,16,PCA,-10.45119350371773
1872,20140416,16,PM2.5,42.0
1878,20140416,17,PCA,6.985610401667004
1878,20140416,17,PM2.5,72.0
1884,20140416,18,PCA,-26.278938695841447
1884,20140416,18,PM2.5,39.0
1890,20140416,19,PCA,-17.41415555662334
1890,20140416,19,PM2.5,51.0
1896,20140416,20,PCA,-15.758216226046958
1896,20140416,20,PM2.5,53.0
1902,20140416,21,PCA,-9.208487240273088
1902,20140416,21,PM2.5,51.0
1908,20140416,22,PCA,5.263743823066282
1908,20140416,22,PM2.5,54.0
1914,20140416,23,PCA,13.341000998316995
1914,20140416,23,PM2.5,67.0
1920,20140417,0,PCA,17.58813800542797
1920,20140417,0,PM2.5,63.0
1926,20140417,1,PCA,25.19218670265543
1926,20140417,1,PM2.5,65.0
1932,20140417,2,PCA,38.86372314854286
1932,20140417,2,PM2.5,78.0
1938,20140417,3,PCA,58.1689545925827
1938,20140417,3,PM2.5,99.0
1944,20140417,4,PCA,66.90022212323294
1944,20140417,4,PM2.5,113.0
1950,20140417,5,PCA,73.88730777336087
1950,20140417,5,PM2.5,106.0
1956,20140417,6,PCA,72.20384956131322
1956,20140417,6,PM2.5,101.0
1962,20140417,7,PCA,78.39422296358453
1962,20140417,7,PM2.5,107.0
1968,20140417,8,PCA,74.2189472005826
1968,20140417,8,PM2.5,106.0
1974,20140417,9,PCA,59.69843528983864
1974,20140417,9,PM2.5,90.0
1980,20140417,10,PCA,56.023827718735006
1980,20140417,10,PM2.5,90.0
1986,20140417,11,PCA,44.621056305537515
1986,20140417,11,PM2.5,87.0
1992,20140417,12,PCA,44.20576162608802
1992,20140417,12,PM2.5,90.0
1998,20140417,13,PCA,26.235419070342974
1998,20140417,13,PM2.5,72.0
2004,20140417,14,PCA,20.166251485097657
2004,20140417,14,PM2.5,78.0
2010,20140417,15,PCA,-1.3782552533434795
2010,20140417,15,PM2.5,61.0
2016,20140417,16,PCA,-5.348208643184695
2016,20140417,16,PM2.5,63.0
2022,20140417,17,PCA,12.458938035089814
2022,20140417,17,PM2.5,78.0
2028,20140417,18,PCA,16.168945400200986
2028,20140417,18,PM2.5,85.0
2034,20140417,19,PCA,50.77025710106722
2034,20140417,19,PM2.5,116.0
2040,20140417,20,PCA,41.764364947523
2040,20140417,20,PM2.5,92.0
2046,20140417,21,PCA,66.77507605962133
2046,20140417,21,PM2.5,117.0
2052,20140417,22,PCA,58.92832341792142
2052,20140417,22,PM2.5,97.0
2058,20140417,23,PCA,66.56481698187254
2058,20140417,23,PM2.5,106.0
2064,20140418,0,PCA,108.63780558011034
2064,20140418,0,PM2.5,150.0
2070,20140418,1,PCA,114.86866012194969
2070,20140418,1,PM2.5,147.0
2076,20140418,2,PCA,104.47802497750104
2076,20140418,2,PM2.5,124.0
2082,20140418,3,PCA,114.6753565448809
2082,20140418,3,PM2.5,132.0
2088,20140418,4,PCA,88.2969353064698
2088,20140418,4,PM2.5,106.0
2094,20140418,5,PCA,98.04105529151394
2094,20140418,5,PM2.5,126.0
2100,20140418,6,PCA,123.00648048003306
2100,20140418,6,PM2.5,148.0
2106,20140418,7,PCA,136.95072500455333
2106,20140418,7,PM2.5,159.0
2112,20140418,8,PCA,145.0487591191772
2112,20140418,8,PM2.5,155.0
2118,20140418,9,PCA,136.98429353876287
2118,20140418,9,PM2.5,140.0
2124,20140418,10,PCA,145.1607834329043
2124,20140418,10,PM2.5,154.0
2130,20140418,11,PCA,145.90078459822595
2130,20140418,11,PM2.5,163.0
2136,20140418,12,PCA,118.03040238136757
2136,20140418,12,PM2.5,134.0
2142,20140418,13,PCA,118.0176169916776
2142,20140418,13,PM2.5,139.0
2148,20140418,14,PCA,118.71518378921597
2148,20140418,14,PM2.5,144.0
2154,20140418,15,PCA,110.62022760977717
2154,20140418,15,PM2.5,142.0
2160,20140418,16,PCA,112.52957982816295
2160,20140418,16,PM2.5,142.0
2166,20140418,17,PCA,102.28416530026304
2166,20140418,17,PM2.5,128.0
2172,20140418,18,PCA,122.57741070631302
2172,20140418,18,PM2.5,151.0
2178,20140418,19,PCA,140.0923330853102
2178,20140418,19,PM2.5,161.0
2184,20140418,20,PCA,78.60478874131888
2184,20140418,20,PM2.5,87.0
2190,20140418,21,PCA,61.810459353543585
2190,20140418,21,PM2.5,77.0
2196,20140418,22,PCA,19.586242903489037
2196,20140418,22,PM2.5,53.0
2202,20140418,23,PCA,8.966721978542193
2202,20140418,23,PM2.5,64.0
2208,20140419,0,PCA,-4.520038083535249
2208,20140419,0,PM2.5,55.0
2214,20140419,1,PCA,-13.861569695285898
2214,20140419,1,PM2.5,53.0
2220,20140419,2,PCA,-23.43457596005225
2220,20140419,2,PM2.5,46.0
2226,20140419,3,PCA,-25.25140742800051
2226,20140419,3,PM2.5,50.0
2232,20140419,4,PCA,-22.616979605078495
2232,20140419,4,PM2.5,49.0
2238,20140419,5,PCA,-22.09138940161584
2238,20140419,5,PM2.5,51.0
2244,20140419,6,PCA,-37.2858522946716
2244,20140419,6,PM2.5,32.0
2250,20140419,7,PCA,-22.702508820555355
2250,20140419,7,PM2.5,48.0
2256,20140419,8,PCA,-23.317799229130298
2256,20140419,8,PM2.5,49.0
